run_id,matrix,policy,scene_id,seed,adapter_config,status,attempted,completed,blocked,failure_layer,failure_code,detail,claim_valid,expected_layer,observed_layer,expected_code,observed_code,detected,correctly_localized,service_survived,late_message_count
lifecycle_stress_constant_velocity_17_full_lifecycle_hardening_cycle01,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,full_lifecycle_hardening,completed,true,true,false,,,Synthetic lifecycle service classified duplicate-close and late-message events.,false,lifecycle,lifecycle,late_events_classified,late_events_classified,true,true,true,4
lifecycle_stress_constant_velocity_17_full_lifecycle_hardening_cycle02,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,full_lifecycle_hardening,completed,true,true,false,,,Synthetic lifecycle service classified duplicate-close and late-message events.,false,lifecycle,lifecycle,late_events_classified,late_events_classified,true,true,true,4
lifecycle_stress_constant_velocity_17_full_lifecycle_hardening_cycle03,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,full_lifecycle_hardening,completed,true,true,false,,,Synthetic lifecycle service classified duplicate-close and late-message events.,false,lifecycle,lifecycle,late_events_classified,late_events_classified,true,true,true,4
lifecycle_stress_constant_velocity_17_full_lifecycle_hardening_cycle04,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,full_lifecycle_hardening,completed,true,true,false,,,Synthetic lifecycle service classified duplicate-close and late-message events.,false,lifecycle,lifecycle,late_events_classified,late_events_classified,true,true,true,4
lifecycle_stress_constant_velocity_17_full_lifecycle_hardening_cycle05,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,full_lifecycle_hardening,completed,true,true,false,,,Synthetic lifecycle service classified duplicate-close and late-message events.,false,lifecycle,lifecycle,late_events_classified,late_events_classified,true,true,true,4
lifecycle_stress_constant_velocity_17_full_lifecycle_hardening_cycle06,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,full_lifecycle_hardening,completed,true,true,false,,,Synthetic lifecycle service classified duplicate-close and late-message events.,false,lifecycle,lifecycle,late_events_classified,late_events_classified,true,true,true,4
lifecycle_stress_constant_velocity_17_full_lifecycle_hardening_cycle07,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,full_lifecycle_hardening,completed,true,true,false,,,Synthetic lifecycle service classified duplicate-close and late-message events.,false,lifecycle,lifecycle,late_events_classified,late_events_classified,true,true,true,4
lifecycle_stress_constant_velocity_17_full_lifecycle_hardening_cycle08,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,full_lifecycle_hardening,completed,true,true,false,,,Synthetic lifecycle service classified duplicate-close and late-message events.,false,lifecycle,lifecycle,late_events_classified,late_events_classified,true,true,true,4
lifecycle_stress_constant_velocity_17_full_lifecycle_hardening_cycle09,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,full_lifecycle_hardening,completed,true,true,false,,,Synthetic lifecycle service classified duplicate-close and late-message events.,false,lifecycle,lifecycle,late_events_classified,late_events_classified,true,true,true,4
lifecycle_stress_constant_velocity_17_full_lifecycle_hardening_cycle10,lifecycle_stress,constant_velocity,synthetic_lifecycle_harness,17,full_lifecycle_hardening,completed,true,true,false,,,Synthetic lifecycle service classified duplicate-close and late-message events.,false,lifecycle,lifecycle,late_events_classified,late_events_classified,true,true,true,4
